,name,proj fpts,class,2022 rank
0,josh-jacobs,16.40349612573435,0,3
1,derrick-henry,14.957523361406274,0,4
2,christian-mccaffrey,14.939271944550782,0,2
3,austin-ekeler,14.47464566261327,0,1
4,saquon-barkley,14.310136890170483,0,5
5,nick-chubb,13.921316233807815,1,6
6,joe-mixon,13.061738574065302,0,10
7,dalvin-cook,12.747518935359139,0,11
8,tony-pollard,12.644695406055902,0,8
9,rhamondre-stevenson,12.613588250963844,0,7
10,jamaal-williams,12.553206725268168,1,13
11,james-conner,12.536613622805575,0,18
12,alvin-kamara,12.339483662901998,0,16
13,najee-harris-rb,11.829973847779897,1,14
14,dameon-pierce,11.813071334904848,1,26
15,travis-etienne,11.392701982769822,1,17
16,miles-sanders,11.375131434998238,1,15
17,leonard-fournette,11.04232709998017,0,12
18,ezekiel-elliott,11.008965867272863,1,21
19,aaron-jones,10.891031768801426,0,9
20,jonathan-taylor,10.888005498546349,1,32
21,dandre-swift,10.593386046901841,0,20
22,rashaad-penny,10.327360544310963,1,69
23,devin-singletary,10.02896393155082,2,22
24,cam-akers,9.986005173215162,1,34
25,aj-dillon,9.941343991697394,1,25
26,antonio-gibson,9.69864405774193,2,27
27,david-montgomery,9.626203359387418,2,23
28,jeffery-wilson,9.539297581197715,1,29
29,cordarrelle-patterson,9.461398092478575,1,30
30,jk-dobbins,9.446927790825256,1,56
31,breece-hall,9.301481074204034,0,41
32,donta-foreman,9.268880888569228,1,37
33,javonte-williams,9.246918860276978,2,80
34,tyler-allgeier,9.16061990596073,1,28
35,raheem-mostert,8.997299495205183,1,24
36,brian-robinson-jr,8.967749530548403,1,42
37,latavius-murray,8.807791672929383,1,31
38,elijah-mitchell-rb,8.741173929814963,4,76
39,zonovan-bam-knight,8.5211814466944,1,66
40,james-robinson,8.440859250652451,1,49
41,damien-harris-rb,8.324301200449085,1,47
42,melvin-gordon,8.193145249649987,2,53
43,rachaad-white,8.140447531531763,2,35
44,khalil-herbert,7.933129904862639,1,40
45,gus-edwards,7.913246056297098,4,65
46,isiah-pacheco,7.86342286958164,1,36
47,michael-carter-rb,7.84900965272378,2,39
48,kareem-hunt,7.606442699844919,2,38
49,darrell-henderson,7.4554862753847,2,59
50,jerick-mckinnon,7.292303582000031,0,19
51,clyde-edwards-helaire,7.078014212488583,2,45
52,jaylen-warren,6.942516653344555,2,46
53,kenyan-drake,6.8184313933467,1,44
54,samaje-perine,6.693408335699459,2,33
55,eno-benjamin,6.600734493570698,2,48
56,chase-edmonds,6.393832197450578,2,58
57,caleb-huntley,6.225040990751708,4,75
58,zack-moss,6.175578291757219,4,63
59,kenneth-gainwell,5.7799414433312535,3,51
60,joshua-kelley,5.763701221649384,3,62
61,malik-davis,5.7207646474923735,3,83
62,deon-jackson,5.659180745899775,2,54
63,chuba-hubbard,5.607177348795503,2,52
64,alexander-mattison,5.583249496808875,3,50
65,james-cook,5.548242917369507,2,43
66,boston-scott,5.128113438146201,4,74
67,mark-ingram,4.774648242168482,3,71
68,kyren-williams,4.750598697835343,3,87
69,jd-mckissic,4.574642813273371,2,67
70,jordan-mason,4.56327106130162,4,84
71,justice-hill,4.056220703632661,3,81
72,matt-breida,3.752761662745556,3,64
73,jamycal-hasty,3.6945204897085517,2,61
74,justin-jackson-rb,3.5030612952945006,3,70
75,raheem-blackshear,3.4100170521993363,3,78
76,ty-johnson,3.3927240850212996,3,79
77,mike-boone,3.219566497364994,3,90
78,dare-ogunbowale,3.124228596184466,3,72
79,nyheim-hines,3.1063149198057403,3,55
80,hassan-haskins,3.096548746561197,3,93
81,deejay-dallas,3.0192409164487657,3,73
82,gary-brightwell,2.9319365301630427,3,88
83,marlon-mack,2.8417231908372145,2,82
84,rex-burkhead,2.6793017218557083,3,60
85,pierre-strong-jr,2.627272409376232,3,91
86,travis-homer,2.6094856582145525,3,77
87,jonathan-williams,2.5850219992802153,3,92
88,sony-michel,2.552233484898565,3,94
89,ameer-abdullah,2.4801137905472928,3,68
90,craig-reynolds,2.4636437766921375,3,86
91,dontrell-hilliard,2.3077340817650196,2,57
92,avery-williams-cb,2.295012166838305,3,85
93,brandon-bolden,2.0023163759120592,3,89
94,malcolm-brown,0.3527729842409002,4,95
