name,MISC_FPTS
travis-kelce,260.3
darren-waller,225.1
robert-tonyan,150.6
tj-hockenson,141.8
mark-andrews,141.1
logan-thomas,140.6
mike-gesicki,132.8
rob-gronkowski,126.8
hayden-hurst,121.1
jonnu-smith,119.7
jimmy-graham,118.6
noah-fant,118.3
hunter-henry,115.3
dalton-schultz,115.0
eric-ebron,113.8
evan-engram,109.5
jared-cook,108.9
tyler-higbee,106.2
george-kittle,101.1
dallas-goedert,93.4
austin-hooper,90.5
irv-smith-jr,83.5
dan-arnold,81.3
gerald-everett,72.4
trey-burton,69.3
darren-fells,65.7
jordan-akins,65.2
tyler-eifert,64.9
mo-alie-cox,64.9
anthony-firkser,64.2
jordan-reed,60.1
zach-ertz,59.5
drew-sample,58.9
richard-rodgers,58.5
chris-herndon-iv,58.2
dawson-knox,54.8
cameron-brate,54.2
jacob-hollister,53.4
jack-doyle,52.6
kyle-rudolph,51.4
harrison-bryant,49.8
will-dissly,49.1
cole-kmet,48.0
durham-smythe,45.8
david-njoku,42.8
greg-olsen,41.9
james-oshaughnessy,40.2
ross-dwelley,40.0
adam-shaheen,39.0
donald-parham,38.9
tyler-kroft,35.9
pharaoh-brown,35.3
tyler-conklin,34.9
marcedes-lewis,33.7
oj-howard,32.1
jesse-james,31.9
adam-trautman,30.6
ian-thomas,30.5
nick-boyle,30.3
foster-moreau,29.5
jason-witten,25.4
ryan-izzo,24.4
albert-okwuegbunam,23.6
jace-sternberger,23.4
nick-vannett,22.5
maxx-williams,20.2
kaden-smith,20.2
mycole-pruitt,19.4
darrell-daniels,19.2
geoff-swaim,18.8
cj-uzomah,18.7
troy-fumagalli,18.0
lee-smith,17.5
vance-mcdonald,17.4
blake-bell,16.7
stephen-anderson,14.6
josh-hill-te,14.6
ryan-griffin,13.1
virgil-green,12.5
devin-asiasi,10.9
luke-stocker,9.8
dominique-dafney,9.6
chris-manhertz,8.2
demetrius-harris,8.0
cethan-carter,7.8
johnny-mundt,7.3
nick-keizer,7.3
colin-thompson,7.2
levine-toilolo,7.1
deon-yelder,7.1
jason-croom,6.8
jordan-thomas,6.8
juwan-johnson,5.9
tanner-hudson,5.6
charlie-woerner,5.1
kahale-warring,5.0
hunter-bryant,4.9
daniel-brown,4.1
jaeden-graham,4.0
stephen-carlson,3.6
ben-ellefson,3.5
dalton-keene,3.1
eric-saubert,3.1
colby-parkinson,2.6
derek-carrier,1.9
blake-jarwin,1.7
luke-willson,1.7
josiah-deguara,1.7
temarrick-hemingway,1.5
jake-butt,1.5
jeremy-sprinkle,1.1
brandon-dillon,1.1
trevon-wesco,1.0
isaac-nauta,0.8
marcus-baugh,0.7
bruce-miller,0.7
jake-bargas,0.0
farrod-green,0.0
tyler-davis,0.0
nate-becker,0.0
matt-sokol,0.0
caleb-wilson,0.0
zach-gentry,0.0
andrew-beck,0.0
hale-hentges,0.0
tommy-stevens,0.0
lawrence-cager,0.0
sean-mckeon,0.0
reggie-gilliam,0.0
rashod-berry,0.0
noah-togiai,0.0
chris-myarick,0.0
brycen-hopkins,0.0
antonio-gandy-golden,0.0
stephen-sullivan,0.0
daniel-helm,0.0
jordan-matthews,0.0
clark-harris,0.0
mason-schreck,0.0
garrett-griffin,0.0
antony-auclair,0.0
ricky-seals-jones,0.0
evan-baylis,0.0
jp-holtz,0.0
zach-wood,0.0
sean-culkin,0.0
kevin-rader,0.0
hakeem-butler,0.0
taysom-hill,0.0
kyle-nelson,0.0
beau-brinkley,0.0
ross-travis,0.0
james-winchester,0.0
tyler-ott,0.0
patrick-scales,0.0
andrew-depaola,0.0
seth-devalve,0.0
eric-tomlinson,0.0
